Tiktok_id,uniqueId,nickname,avatarLarger,avatarMedium,avatarThumb,Account_verified,privateAccount,followers_Count,following_Count,videoCount,heartCount,friends_Count,diggCount
7483272463976055816,bevskieh,bevskieh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/91567369e5c13601cd52e1a8ce9f3c98~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=8cb839c6&x-expires=1757311200&x-signature=KfBE3JIpSA0eXvqXfH5Zy7s0%2Bww%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/91567369e5c13601cd52e1a8ce9f3c98~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=022c6eba&x-expires=1757311200&x-signature=iwcc%2Bc2jKQI19rkXG6cSPUvWXos%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/91567369e5c13601cd52e1a8ce9f3c98~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=e41d9c69&x-expires=1757311200&x-signature=2aiUqmD24qqQbV78AwZ4fjS9yuc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,10,66,0,0,0,244
7438484761930990600,jhen.abings,Jhen Abings,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6b3c581fd58fc4e04c341de64abb6c4d~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=344ef043&x-expires=1757311200&x-signature=4iOknuux4RzMI1dHoFgMdj8nCgw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6b3c581fd58fc4e04c341de64abb6c4d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=f12534a2&x-expires=1757311200&x-signature=Qz%2FtzdSLXXPPAE%2BB79C1rXBmAy4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6b3c581fd58fc4e04c341de64abb6c4d~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=31262ef3&x-expires=1757311200&x-signature=3eGMAaH6UlnGrzcnWkPU5SSNQF8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,3,24,15,14,0,31
6739505040611214341,tswift14754357,idk,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c8e5a2c30dc7a5d9f99ff90280bd30e5~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=9eea772e&x-expires=1757311200&x-signature=n1Fga0p%2Fa6YDVv1OThTThynocuk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c8e5a2c30dc7a5d9f99ff90280bd30e5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=ab7b11ff&x-expires=1757311200&x-signature=c2YvXOw7VEYLSojfXt%2BNjFvLzko%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c8e5a2c30dc7a5d9f99ff90280bd30e5~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=62045d2e&x-expires=1757311200&x-signature=05U2cc6j8upn53yeZGbBwkG8w8s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,True,4,17,0,0,0,4351
7500486682581566482,iammm2.1,kth🐣,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d0aa48bafeb35abd6f5000ae4434daa8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=9354d8b7&x-expires=1757311200&x-signature=xFPFCl2Ty509Dzre6DjtruQbUGI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d0aa48bafeb35abd6f5000ae4434daa8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=088828e1&x-expires=1757311200&x-signature=DfFGWx2xDBEVQSl12HpQoGoGkyI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d0aa48bafeb35abd6f5000ae4434daa8~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=9987b795&x-expires=1757311200&x-signature=X5xQfLHu2TBaR1gO12NABDSz7jw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,23,26,7,29,0,11200
7291170210697118725,virginyamrtns,the virgin 🫏,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e4e1f27d3a470f0de0ebc82d61fca405~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=8598877c&x-expires=1757311200&x-signature=6h6flLjVmuinC7JsDCQsv%2BIGDvc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e4e1f27d3a470f0de0ebc82d61fca405~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=b1df2b5c&x-expires=1757311200&x-signature=Iyyg%2F5qQtYmxrjS46klpfL66CKg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e4e1f27d3a470f0de0ebc82d61fca405~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=74877c79&x-expires=1757311200&x-signature=KQXGclN%2FojRBv%2F4lsHyoihyDujQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,True,1,369,182,0,0,4330
7303071283003327493,maima17304,𝕞𝕒𝕚𝕜𝕒,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0151fea0472574a2efce38f060a3e70c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=ca31013f&x-expires=1757311200&x-signature=CcO4oXPr9S5TGYjoUbhO7et1GGQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0151fea0472574a2efce38f060a3e70c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=57fe457c&x-expires=1757311200&x-signature=blNDOxFYUnepKEn8r46IBj%2FXhRA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0151fea0472574a2efce38f060a3e70c~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=f8f5920f&x-expires=1757311200&x-signature=qjpnV8UAN5UseotA1SpeW%2BmxBhQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,True,62,128,0,0,0,2220
7190311916468356098,user7811130233622,レモンサワー🍋,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f1ab37691ad51a9e129e17cd1cc37811~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=0751aa1b&x-expires=1757311200&x-signature=KeQ6%2FQRAkdL8iAxWialxGRwVQZk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f1ab37691ad51a9e129e17cd1cc37811~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=decd6892&x-expires=1757311200&x-signature=QMqXu4yRn3551rLcmtWaCbhpuKM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f1ab37691ad51a9e129e17cd1cc37811~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=97c6254a&x-expires=1757311200&x-signature=jFoc3p3wbmKP70mZc1y8YX%2Bs7U8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,2232,1947,217,39700,0,49000
7027205731187704833,zvcmax,Max_finds 🎀,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4e6198a606721d1f6e894307426576aa~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=3cc25dd8&x-expires=1757311200&x-signature=ic1Z4e5YTeJ0570rhkEg%2FvH%2B2Ho%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4e6198a606721d1f6e894307426576aa~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=fcf65456&x-expires=1757311200&x-signature=hRjdMFlKWI90H6kJDx3n6k8HgOk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4e6198a606721d1f6e894307426576aa~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=2adb80aa&x-expires=1757311200&x-signature=tSU86m045l9HGLuXkl1Un0brkEk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,3176,3722,1363,34300,0,10400
7506351813881693202,shaniee.cakes24,SYHSHIEEE(^_-),https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2f7508b0bcc0ea9cd1f0bfdf0e9f0283~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=4bc61247&x-expires=1757311200&x-signature=d4JsTiTpCX9X7WGTleC2%2BEJESXk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2f7508b0bcc0ea9cd1f0bfdf0e9f0283~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=43cf68bc&x-expires=1757311200&x-signature=yfT93DVsBdTb%2FYdk%2FMpmwKxLB10%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2f7508b0bcc0ea9cd1f0bfdf0e9f0283~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=70be6b22&x-expires=1757311200&x-signature=SaTwZA36v6Xq10MIq1sfaFNWfrE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,False,47,19,6,464,0,31800
7117511718817285121,pthdzntg2010,TuanHung👽‼️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b57dca75ed71216e310ce217624ce831~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=dfcda9f1&x-expires=1757311200&x-signature=R9UwxuPsays5kDbDWn7Dl34JI9Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b57dca75ed71216e310ce217624ce831~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=cc5abfff&x-expires=1757311200&x-signature=QuSH9v%2BTR0283te2TijRslpIITk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b57dca75ed71216e310ce217624ce831~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&refresh_token=4348fd2c&x-expires=1757311200&x-signature=9Ak1I9OzR0BWmNt7sh8vKWrnT7U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,False,True,31,352,0,0,0,2717
